"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"可愛",0.00365432104572681,0.000220865557708763,0,0,0.00132415397892219,0,0,0,0.000930960200234788,0,0,0.000939508248817912,0,0.003339854249507,0.00142112485111598,0,0.00112553088208386,0,0,0.00117120799384377,0,0.00138271607135609,0,0.00294256439760486
"可憐",0.00324675324675325,0.000196232339089482,0,0,0,0,0.00184842883548983,0,0.00165425971877585,0,0,0.00500834724540901,0,0,0,0.00245098039215686,0,0,0,0,0,0,0,0
"可說是",0.00744312094272915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"各",0.00487012987012987,0.000294348508634223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00313152400835073,0,0,0
"各自",0.00487012987012987,0.000294348508634223,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00367647058823529,0,0,0,0,0,0,0,0
"各集",0.00744312094272915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"合照",0.00581974431935253,0.000703485577064591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"吉岡",0.000427003905574341,5.16158567177774e-05,0,0.000287469295993217,0.000309452242157404,0.00061745165688684,0.00024310019023456,0.000291936077506985,0.000217563611111492,0.000304086018304964,0.000199722403822167,0.000219561273650913,0.000269502464993641,0.000260172508243119,0.000332114148780043,0.00032234608558063,0.000263034405833794,0.000469704296131775,0.000565665388889879,0.000273709059140264,0.000274566185630265,0,0,0
"名",0.00581974431935253,0.00105522836559689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"吧",0.000407567798973568,0.000209382358263893,0.000956425768257972,0.000685961104283382,0.000443050172060678,0.00117869372848694,0.000232034902188279,0.000139323953478201,0.000415321363387457,0.000435367221100088,0.000285947339598767,0.000523918539582048,0.000257235414106268,0.00024833013270793,0.000316997176979441,0.00046151059589654,0.000251061764167718,0.000448324578870924,0.000809876658605541,0.000391875802551068,0.000393102971035049,0,0,0.00016409265631877
"告白",0.00205038052895096,0.000991392783229037,0,0.00414109641256982,0,0,0,0.00981269793655556,0,0,0.000959023846494908,0.00105428581455242,0,0.00124929219172482,0.00637896164562522,0.00154783628165906,0,0,0,0.00262858357093401,0,0,0,0
"呢",0.00134752434830793,0.000325775117173347,0,0.000453592895386714,0.00244139705458143,0,0,0.00092128190738922,0.0013731596336769,0.000959624275789234,0.000945415715897138,0.00103932595812732,0.00127573001827513,0.000410521759919727,0,0.00101724877274226,0,0.00148227678313873,0.000892553761889987,0.00259128511516448,0.000433233297785849,0.00356911854416696,0.000632679114754335,0
"哪",0.00581974431935253,0,0,0,0,0,0,0,0,0,0,0,0,0.00354595697400708,0,0,0,0,0,0,0,0,0,0
"哪一首",0.00581974431935253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00640171875128778,0,0,0,0,0,0
"哪張",0.00744312094272915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"哭個",0.00744312094272915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"唯一",0.0041963676959759,0.000253626618987555,0,0,0,0,0.00238905961249645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00337903594865511
